ind;bloc;focal;treatment;hybridity;linetype;focalweight;mateweight;layingdays;selfedbeforepairingF;clutchesF;eggsF;viableeggsF;quicomptelesoeufs;babiesF;unhatchedF;whocountsbabiesF;qualityF;correctedeggsf;layingdaysA;clutchesA;eggsA;viableeggsA;whocountseggsA;PbabiesA;AbabiesA;PunhachedA;AunhatchedA;unknownunhatchedA;whocountsbabiesA;correctedeggsA
324;B;P324;F2;NH;F;75;33;4;no;3;88;88;SM;74;14;SM;0;88;4;3;11;11;SM;3;0;3;0;0;AS;11
325;B;P325;M1;NH;M;113;57;4;no;3;98;98;SM;35;4;SM;1;98;4;5;73;73;SM;13;24;6;12;0;AS;73
326;B;P326;T2;NH;T;80;67;4;no;7;160;160;SM;30;23;SM;0;160;4;6;77;77;SM;27;6;24;2;3;AS;77
327;B;P327;HT;H;T;119;54;4;yes;8;177;177;SM;99;18;SM;0;177;4;5;98;98;SM;31;41;3;13;0;AS;98
328;B;P328;T1;NH;T;63;52;4;no;4;76;76;SM;65;11;SM;0;76;4;5;66;66;SM;19;15;18;10;1;AS;66
329;B;P329;HM;H;M;108;50;4;no;4;132;132;SM;32;91;SM;0;132;4;4;47;47;SM;17;0;21;0;0;AS;47
330;B;P330;F1;NH;F;93;49;4;no;0;0;0;SM;0;0;SM;0;0;4;4;75;75;SM;7;16;19;20;2;AS;75
331;B;P331;M2;NH;M;93;65;4;no;6;199;199;SM;87;100;SM;0;199;4;4;55;55;SM;1;0;9;14;0;AS;55
332;B;P332;HF;H;F;66;49;4;no;5;115;115;SM;18;90;SM;2;115;4;2;19;19;SM;1;12;2;2;0;AS;19
333;B;P333;F2;NH;F;69;52;4;no;15;90;90;SM;74;16;SM;0;90;4;3;22;22;SM;15;0;4;0;1;AS;22
334;B;P334;M1;NH;M;117;52;4;no;4;141;141;SM;65;44;SM;0;141;4;4;52;52;SM;29;15;0;0;0;AS;52
335;B;P335;T2;NH;T;54;43;4;no;7;140;140;SM;85;28;SM;0;140;4;7;85;85;SM;0;1;5;32;0;AS;85
336;B;P336;HT;H;T;96;61;4;no;6;126;126;SM;50;53;SM;2;126;4;5;75;75;SM;2;1;57;11;2;AS;75
337;B;P337;T1;NH;T;112;69;4;no;5;124;124;SM;116;11;SM;0;127;4;4;62;62;SM;8;2;37;10;0;AS;62
338;B;P338;HM;H;M;136;39;4;no;5;167;167;SM;70;52;SM;0;167;4;4;56;56;SM;6;0;11;4;0;AS;56
339;B;P339;F1;NH;F;64;51;4;no;7;85;85;SM;15;57;SM;0;85;4;4;52;52;SM;6;7;21;16;1;AS;52
340;B;P340;M2;NH;M;71;48;4;no;2;88;88;SM;0;88;SM;0;88;4;4;66;66;SM;2;2;14;41;1;AS;66
341;B;P341;HF;H;F;74;39;4;no;5;114;114;SM;85;3;SM;0;114;4;7;52;52;SM;2;12;0;35;0;AS;52
