"Population","Cage","Sex","Time Block","Marker","Mating Status"
"6","","Male","Day 3 Final","Red","Non-Mated"
"6","","Male","Day 3 Final","Red","Non-Mated"
"6","","Male","Day 3 Final","Red","Non-Mated"
"6","","Male","Day 3 Final","Red","Non-Mated"
"6","","Male","Day 3 Final","Red","Non-Mated"
"6","","Male","Day 3 Final","Red","Non-Mated"
"6","","Male","Day 3 Final","Red","Non-Mated"
"6","","Male","Day 3 Final","Red","Non-Mated"
"6","","Male","Day 3 Final","Red","Non-Mated"
"6","","Male","Day 3 Final","Red","Non-Mated"
"6","","Male","Day 3 Final","Red","Non-Mated"
"6","","Male","Day 3 Final","Red","Non-Mated"
"6","","Male","Day 3 Final","Red","Non-Mated"
"6","","Male","Day 3 Final","Red","Non-Mated"
"6","","Male","Day 3 Final","Red","Non-Mated"
"6","","Male","Day 3 Final","Red","Non-Mated"
"6","","Male","Day 3 Final","Red","Non-Mated"
"6","","Male","Day 3 Final","Red","Non-Mated"
"6","","Male","Day 3 Final","Red","Non-Mated"
"6","","Male","Day 3 Final","Red","Non-Mated"
"6","","Male","Day 3 Final","Red","Non-Mated"
"6","","Male","Day 3 Final","Red","Non-Mated"
"6","","Male","Day 3 Final","Red","Non-Mated"
"6","","Male","Day 3 Final","Red","Non-Mated"
"6","","Male","Day 3 Final","Red","Non-Mated"
"6","","Male","Day 3 Final","Red","Non-Mated"
"6","","Male","Day 3 Final","Red","Non-Mated"
"6","","Male","Day 3 Final","Red","Non-Mated"
"6","","Male","Day 3 Final","Red","Non-Mated"
"6","","Male","Day 3 Final","Red","Non-Mated"
"6","","Male","Day 3 Final","Red","Non-Mated"
"6","","Male","Day 3 Final","Red","Non-Mated"
"6","","Male","Day 3 Final","Red","Non-Mated"
"6","","Male","Day 3 Final","Red","Non-Mated"
"6","","Male","Day 3 Final","Red","Non-Mated"
"6","","Male","Day 3 Final","Red","Non-Mated"
"6","","Male","Day 3 Final","Red","Non-Mated"
"6","","Male","Day 3 Final","Red","Non-Mated"
"6","","Male","Day 3 Final","Red","Non-Mated"
"6","","Male","Day 3 Final","Red","Non-Mated"
"6","","Male","Day 3 Final","Red","Non-Mated"
"6","","Male","Day 3 Final","Red","Non-Mated"
"6","","Male","Day 3 Final","Red","Non-Mated"
"6","","Male","Day 3 Final","Red","Non-Mated"
"6","","Male","Day 3 Final","Red","Non-Mated"
"6","","Male","Day 3 Final","Red","Non-Mated"
"6","","Male","Day 3 Final","Red","Non-Mated"
"6","","Male","Day 3 Final","Red","Non-Mated"
"6","","Male","Day 3 Final","Red","Non-Mated"
"6","","Male","Day 3 Final","Red","Non-Mated"
"6","","Male","Day 3 Final","Red","Non-Mated"
"6","","Male","Day 3 Final","Red","Non-Mated"
"6","","Male","Day 3 Final","Red","Non-Mated"
"6","","Male","Day 3 Final","Red","Non-Mated"
"6","","Male","Day 3 Final","Red","Non-Mated"
"6","","Male","Day 3 Final","Red","Non-Mated"
"6","","Male","Day 3 Final","Red","Non-Mated"
"6","","Male","Day 3 Final","Red","Non-Mated"
"6","","Male","Day 3 Final","Red","Non-Mated"
"6","","Male","Day 3 Final","Red","Non-Mated"
"6","","Male","Day 3 Final","Red","Non-Mated"
