"Gen","Treatment","Replicate","Contest","Vial","Red","Brown"
"64","MC","3","129","1",45,68
"64","MC","3","129","2",45,77
"64","MC","3","129","3",59,81
"64","MC","3","129","4",59,93
"64","MC","3","129","5",24,58
"64","MC","3","129","6",52,65
"64","MC","5","18","1",43,80
"64","MC","5","18","2",36,55
"64","MC","5","18","3",28,66
"64","MC","5","18","4",33,64
"64","MC","5","18","5",40,65
"64","MC","5","18","6",61,69
"64","MC","5","42","1",5,50
"64","MC","5","42","2",6,44
"64","MC","5","42","3",7,51
"64","MC","5","42","4",13,41
"64","MC","5","42","5",12,55
"64","MC","5","42","6",12,44
"64","MC","5","66","1",13,58
"64","MC","5","66","2",10,48
"64","MC","5","66","3",16,39
"64","MC","5","66","4",28,54
"64","MC","5","66","5",22,59
"64","MC","5","66","6",36,53
"64","MC","5","90","1",38,63
"64","MC","5","90","2",33,61
"64","MC","5","90","3",60,61
"64","MC","5","90","4",42,45
"64","MC","5","90","5",40,47
"64","MC","5","90","6",38,58
"64","MC","5","114","1",20,54
"64","MC","5","114","2",17,62
"64","MC","5","114","3",29,67
"64","MC","5","114","4",18,56
"64","MC","5","114","5",15,50
"64","MC","5","114","6",11,59
"64","MC","5","136","1",13,36
"64","MC","5","136","2",14,50
"64","MC","5","136","3",16,52
"64","MC","5","136","4",57,75
"64","MC","5","136","5",35,61
"64","MC","5","136","6",28,50
"70","MLDD","1","7","1",33,46
"70","MLDD","1","7","2",52,76
"70","MLDD","1","7","3",52,90
"70","MLDD","1","7","4",65,84
"70","MLDD","1","7","5",47,64
"70","MLDD","1","7","6",49,55
"70","MLDD","1","31","1",39,38
"70","MLDD","1","31","2",58,64
"70","MLDD","1","31","3",42,39
"70","MLDD","1","31","4",31,64
"70","MLDD","1","31","5",43,59
"70","MLDD","1","31","6",36,61
"70","MLDD","1","55","1",51,88
"70","MLDD","1","55","2",42,77
"70","MLDD","1","55","3",53,98
"70","MLDD","1","55","4",31,87
"70","MLDD","1","55","5",42,74
"70","MLDD","1","55","6",69,83
"70","MLDD","1","79","1",56,73
"70","MLDD","1","79","2",42,69
"70","MLDD","1","79","3",43,54
"70","MLDD","1","79","4",41,50
"70","MLDD","1","79","5",35,49
"70","MLDD","1","79","6",61,86
"70","MLDD","1","103","1",24,48
"70","MLDD","1","103","2",20,55
"70","MLDD","1","103","3",18,63
"70","MLDD","1","103","4",23,62
"70","MLDD","1","103","5",18,66
"70","MLDD","1","103","6",26,87
"70","MLDD","1","126","1",23,52
"70","MLDD","1","126","2",33,63
"70","MLDD","1","126","3",38,71
"70","MLDD","1","126","4",39,56
"70","MLDD","1","126","5",42,76
"70","MLDD","1","126","6",22,54
"70","MLDD","3","15","1",32,67
"70","MLDD","3","15","2",22,64
"70","MLDD","3","15","3",19,50
"70","MLDD","3","15","4",38,81
"70","MLDD","3","15","5",32,51
"70","MLDD","3","15","6",25,54
"70","MLDD","3","39","1",35,76
"70","MLDD","3","39","2",35,77
"70","MLDD","3","39","3",29,61
"70","MLDD","3","39","4",25,77
"70","MLDD","3","39","5",27,71
"70","MLDD","3","39","6",13,39
"70","MLDD","3","63","1",39,47
"70","MLDD","3","63","2",38,78
"70","MLDD","3","63","3",64,81
"70","MLDD","3","63","4",38,75
"70","MLDD","3","63","5",40,62
"70","MLDD","3","63","6",34,62
"70","MLDD","3","87","1",37,57
"70","MLDD","3","87","2",28,35
"70","MLDD","3","87","3",37,50
"70","MLDD","3","87","4",41,48
"70","MLDD","3","87","5",24,44
"70","MLDD","3","87","6",35,51
"70","MLDD","3","111","1",23,56
"70","MLDD","3","111","2",26,48
"70","MLDD","3","111","3",27,54
"70","MLDD","3","111","4",29,62
"70","MLDD","3","111","5",27,53
"70","MLDD","3","111","6",17,42
"70","MLDD","3","133","1",21,34
"70","MLDD","3","133","2",24,21
"70","MLDD","3","133","3",14,19
"70","MLDD","3","133","4",28,28
"70","MLDD","3","133","5",35,29
"70","MLDD","3","133","6",30,23
"70","MLDD","5","23","1",11,16
"70","MLDD","5","23","2",30,41
"70","MLDD","5","23","3",12,18
"70","MLDD","5","23","4",27,39
"70","MLDD","5","23","5",29,28
"70","MLDD","5","23","6",36,45
"70","MLDD","5","47","1",35,72
"70","MLDD","5","47","2",33,65
"70","MLDD","5","47","3",45,64
"70","MLDD","5","47","4",38,89
"70","MLDD","5","47","5",40,70
"70","MLDD","5","47","6",28,51
"70","MLDD","5","71","1",50,73
"70","MLDD","5","71","2",34,42
"70","MLDD","5","71","3",47,79
"70","MLDD","5","71","4",47,91
"70","MLDD","5","71","5",44,70
"70","MLDD","5","71","6",42,67
"70","MLDD","5","95","1",22,81
"70","MLDD","5","95","2",29,77
"70","MLDD","5","95","3",21,66
"70","MLDD","5","95","4",25,90
"70","MLDD","5","95","5",20,46
"70","MLDD","5","95","6",17,53
"70","MLDD","5","119","1",30,36
"70","MLDD","5","119","2",29,17
"70","MLDD","5","119","3",12,13
"70","MLDD","5","119","4",25,34
"70","MLDD","5","119","5",18,23
"70","MLDD","5","119","6",23,20
"70","MLDD","5","141","1",16,27
"70","MLDD","5","141","2",20,29
"70","MLDD","5","141","3",20,42
"70","MLDD","5","141","4",13,28
"70","MLDD","5","141","5",19,37
"70","MLDD","5","141","6",16,46
"70","MLSDa","1","8","1",40,42
"70","MLSDa","1","8","2",44,76
"70","MLSDa","1","8","3",41,56
"70","MLSDa","1","8","4",34,48
"70","MLSDa","1","8","5",31,78
"70","MLSDa","1","8","6",41,61
"70","MLSDa","1","32","1",11,39
"70","MLSDa","1","32","2",13,28
"70","MLSDa","1","32","3",16,45
"70","MLSDa","1","32","4",11,51
"70","MLSDa","1","32","5",13,34
"70","MLSDa","1","32","6",15,37
"70","MLSDa","1","56","1",26,47
"70","MLSDa","1","56","2",31,40
"70","MLSDa","1","56","3",45,46
"70","MLSDa","1","56","4",33,55
"70","MLSDa","1","56","5",41,71
"70","MLSDa","1","56","6",25,36
"70","MLSDa","1","80","1",23,62
"70","MLSDa","1","80","2",28,60
"70","MLSDa","1","80","3",24,53
"70","MLSDa","1","80","4",19,49
"70","MLSDa","1","80","5",27,71
"70","MLSDa","1","80","6",26,50
"70","MLSDa","1","104","1",31,63
"70","MLSDa","1","104","2",36,69
"70","MLSDa","1","104","3",29,81
"70","MLSDa","1","104","4",30,63
