rep_population,regime,regimeRP,male,age,dead
RP4,aFLX,jFLXRP4,14,52,1
RP4,aFLX,jFLXRP4,15,45,1
RP4,aFLX,jFLXRP4,16,74,1
RP4,aFLX,jFLXRP4,17,53,1
RP4,aFLX,jFLXRP4,18,55,1
RP4,aFLX,jFLXRP4,19,52,1
RP4,aFLX,jFLXRP4,20,71,1
RP4,aFLX,jFLXRP4,21,52,1
RP4,aFLX,jFLXRP4,22,79,0
RP4,aFLX,jFLXRP4,23,68,1
RP4,aFLX,jFLXRP4,24,43,1
RP4,aFLX,jFLXRP4,25,46,1
RP4,aFLX,jFLXRP4,26,45,1
RP4,aFLX,jFLXRP4,27,64,1
RP4,aFLX,jFLXRP4,28,33,1
RP4,aFLX,jFLXRP4,29,44,1
RP4,aFLX,jFLXRP4,30,33,1
RP4,aFLX,jFLXRP4,31,41,1
RP4,aFLX,jFLXRP4,32,41,1
RP4,aFLX,jFLXRP4,33,32,1
RP4,aFLX,jFLXRP4,34,58,1
RP4,aFLX,jFLXRP4,35,41,1
RP4,bCFM,kCFMRP4,1,55,1
RP4,bCFM,kCFMRP4,2,53,1
RP4,bCFM,kCFMRP4,3,32,1
RP4,bCFM,kCFMRP4,4,52,1
RP4,bCFM,kCFMRP4,5,44,1
RP4,bCFM,kCFMRP4,6,55,1
RP4,bCFM,kCFMRP4,7,51,1
RP4,bCFM,kCFMRP4,8,64,1
RP4,bCFM,kCFMRP4,9,53,1
RP4,bCFM,kCFMRP4,10,72,1
RP4,bCFM,kCFMRP4,11,43,1
RP4,bCFM,kCFMRP4,12,33,1
RP4,bCFM,kCFMRP4,13,37,0
RP4,bCFM,kCFMRP4,14,36,1
RP4,bCFM,kCFMRP4,15,46,1
RP4,bCFM,kCFMRP4,16,50,1
RP4,bCFM,kCFMRP4,17,41,1
RP4,bCFM,kCFMRP4,18,62,1
RP4,bCFM,kCFMRP4,19,32,1
RP4,bCFM,kCFMRP4,20,32,1
RP4,bCFM,kCFMRP4,21,33,1
RP4,bCFM,kCFMRP4,22,48,1
RP4,bCFM,kCFMRP4,23,41,1
RP4,bCFM,kCFMRP4,24,71,1
RP4,bCFM,kCFMRP4,25,54,1
RP4,bCFM,kCFMRP4,26,51,1
RP4,bCFM,kCFMRP4,27,33,1
RP4,bCFM,kCFMRP4,28,6,1
RP4,bCFM,kCFMRP4,29,65,1
RP4,bCFM,kCFMRP4,30,41,1
RP4,bCFM,kCFMRP4,31,48,1
RP4,bCFM,kCFMRP4,32,48,1
RP4,bCFM,kCFMRP4,33,69,1
RP4,bCFM,kCFMRP4,34,43,1
RP4,bCFM,kCFMRP4,35,32,1
RP4,cCwt,lCwtRP4,1,62,1
RP4,cCwt,lCwtRP4,2,72,1
RP4,cCwt,lCwtRP4,3,68,1
RP4,cCwt,lCwtRP4,4,43,1
RP4,cCwt,lCwtRP4,5,69,1
RP4,cCwt,lCwtRP4,6,46,1
RP4,cCwt,lCwtRP4,7,72,1
RP4,cCwt,lCwtRP4,8,68,1
RP4,cCwt,lCwtRP4,9,79,0
RP4,cCwt,lCwtRP4,10,50,1
RP4,cCwt,lCwtRP4,11,65,1
RP4,cCwt,lCwtRP4,12,78,1
RP4,cCwt,lCwtRP4,13,78,1
RP4,cCwt,lCwtRP4,14,69,1
RP4,cCwt,lCwtRP4,15,76,1
RP4,cCwt,lCwtRP4,16,79,0
RP4,cCwt,lCwtRP4,17,59,1
RP4,cCwt,lCwtRP4,18,64,1
RP4,cCwt,lCwtRP4,19,24,1
RP4,cCwt,lCwtRP4,20,79,0
RP4,cCwt,lCwtRP4,21,62,1
RP4,cCwt,lCwtRP4,22,69,1
RP4,cCwt,lCwtRP4,23,40,1
RP4,cCwt,lCwtRP4,24,45,1
RP4,cCwt,lCwtRP4,25,71,1
RP4,cCwt,lCwtRP4,26,40,1
RP4,cCwt,lCwtRP4,27,68,1
RP4,cCwt,lCwtRP4,28,50,1
RP4,cCwt,lCwtRP4,29,74,1
RP4,cCwt,lCwtRP4,30,62,1
RP4,cCwt,lCwtRP4,31,48,1
RP4,cCwt,lCwtRP4,32,62,1
RP4,cCwt,lCwtRP4,33,50,1
RP4,cCwt,lCwtRP4,34,37,0
RP4,cCwt,lCwtRP4,35,44,1
